position,name,country
FW,Dan Ndoye,SUI
GK,Yvon Mvogo,SUI
DF,Ricardo Rodriguez,SUI
MF,Ardon Jashari,SUI
MF,Djibril Sow,SUI
FW,Christian Fassnacht,SUI
FW,Rubén Vargas,SUI
DF,Eray Cömert,SUI
FW,Noah Okafor,SUI
MF,Michel Aebischer,SUI
GK,Marvin Keller,SUI
MF,Fabian Rieder,SUI
FW,Zeki Amdouni,SUI
DF,Aurèle Amenda,SUI
DF,Luca Jaquez,SUI
FW,Cedric Itten,SUI
GK,Alisson,BRA
DF,Wesley,BRA
DF,Gabriel Magalhães,BRA
DF,Marquinhos,BRA
MF,Casemiro,BRA
DF,Alex Sandro,BRA
FW,Vinícius Júnior,BRA
MF,Bruno Guimarães,BRA
FW,Matheus Cunha,BRA
FW,Neymar,BRA
FW,Raphinha,BRA
GK,Weverton,BRA
DF,Danilo Luiz,BRA
DF,Bremer,BRA
DF,Léo Pereira,BRA
DF,Douglas Santos,BRA
MF,Fabinho,BRA
MF,Danilo Santos,BRA
FW,Endrick,BRA
MF,Lucas Paquetá,BRA
FW,Luiz Henrique,BRA
FW,Gabriel Martinelli,BRA
GK,Ederson,BRA
DF,Roger Ibañez,BRA
FW,Igor Thiago,BRA
FW,Rayan,BRA
GK,Johny Placide,HAI
DF,Carlens Arcus,HAI
DF,Keeto Thermoncy,HAI
DF,Ricardo Adé,HAI
DF,Hannes Delcroix,HAI
MF,Carl Sainté,HAI
FW,Derrick Etienne Jr.,HAI
DF,Martin Expérience,HAI
FW,Duckens Nazon,HAI
MF,Jean-Ricner Bellegarde,HAI
FW,Louicius Deedson,HAI
GK,Alexandre Pierre,HAI
DF,Duke Lacroix,HAI
MF,Leverton Pierre,HAI
FW,Ruben Providence,HAI
FW,Lenny Joseph,HAI
MF,Danley Jean Jacques,HAI
FW,Wilson Isidor,HAI
FW,Yassin Fortuné,HAI
FW,Frantzdy Pierrot,HAI
FW,Josué Casimir,HAI
DF,Jean-Kévin Duverne,HAI
GK,Josué Duverger,HAI
DF,Wilguens Paugain,HAI
MF,Dominique Simon,HAI
MF,Woodensky Pierre,HAI
GK,Yassine Bounou,MAR
DF,Achraf Hakimi,MAR
DF,Noussair Mazraoui,MAR
MF,Sofyan Amrabat,MAR
DF,Nayef Aguerd,MAR
MF,Ayyoub Bouaddi,MAR
MF,Chemsdine Talbi,MAR
MF,Azzedine Ounahi,MAR
FW,Soufiane Rahimi,MAR
FW,Brahim Díaz,MAR
MF,Ismael Saibari,MAR
GK,Munir Mohamedi,MAR
DF,Zakaria El Ouahdi,MAR
DF,Issa Diop,MAR
MF,Samir El Mourabet,MAR
MF,Gessime Yassine,MAR
FW,Abde Ezzalzouli,MAR
DF,Chadi Riad,MAR
DF,Youssef Belammari,MAR
FW,Ayoub El Kaabi,MAR
FW,Ayoube Amaimouni,MAR
GK,Ahmed Reda Tagnaouti,MAR
MF,Bilal El Khannouss,MAR
MF,Neil El Aynaoui,MAR
DF,Redouane Halhal,MAR
DF,Anass Salah-Eddine,MAR
GK,Angus Gunn,SCO
DF,Aaron Hickey,SCO
DF,Andy Robertson,SCO
MF,Scott McTominay,SCO
DF,Grant Hanley,SCO
DF,Kieran Tierney,SCO
MF,John McGinn,SCO
MF,Tyler Fletcher,SCO
FW,Lyndon Dykes,SCO
FW,Ché Adams,SCO
MF,Ryan Christie,SCO
GK,Liam Kelly,SCO
DF,Jack Hendry,SCO
FW,Ross Stewart,SCO
DF,John Souttar,SCO
DF,Dominic Hyam,SCO
FW,Ben Gannon-Doak,SCO
FW,George Hirst,SCO
MF,Lewis Ferguson,SCO
FW,Lawrence Shankland,SCO
GK,Craig Gordon,SCO
DF,Nathan Patterson,SCO
MF,Kenny McLean,SCO
DF,Anthony Ralston,SCO
FW,Findlay Curtis,SCO
DF,Scott McKenna,SCO
GK,Mathew Ryan,AUS
DF,Miloš Degenek,AUS
DF,Alessandro Circati,AUS
DF,Jacob Italiano,AUS
DF,Jordan Bos,AUS
DF,Jason Geria,AUS
FW,Mathew Leckie,AUS
MF,Connor Metcalfe,AUS
FW,Mohamed Touré,AUS
FW,Ajdin Hrustic,AUS
FW,Awer Mabil,AUS
GK,Paul Izzo,AUS
MF,Aiden O'Neill,AUS
MF,Cammy Devlin,AUS
DF,Kai Trewin,AUS
DF,Aziz Behich,AUS
